sip,dip,sport,dport,flags,time-stamp,payload
*,*,80,58548,PA,17:32.8,"b'E\x00\x045\xae/\x00\x00w\x06\x0e@\xc0\xa8\x01\x02\xc0\xa8\x01\x01\x00P\xe4\xb4(]\xb1\x89O\xaa\x92KP\x18\'\xec8]\x00\x00<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/""><soap:Body><ns2:getRoomInfoResponse xmlns:ns2=""http://facade.jyhcroom.plat.room.org/""><return>[{""brandwidth"":""30"",""closetime"":""18:00"",""coordinate"":""118.999733|26.910236"",""createdate"":""2014-11-28"",""demo"":""\xe7\x8e\xaf\xe5\xa2\x83\xe4\xbc\x98\xe9\x9b\x85\xe3\x80\x81\xe9\x80\x82\xe5\x90\x88\xe9\x98\x85\xe8\xaf\xbb 192.168.1.100,"",""description"":"""",""devcode"":""1859-646740851159120151109153607"",""devcount"":""3"",""failure"":"""",""id"":6166,""info1"":""\xe5\xae\xa1\xe6\xa0\xb8\xe9\x80\x9a\xe8\xbf\x87"",""info2"":"""",""info3"":"""",""info4"":"""",""info5"":"""",""location"":""\xe5\xae\x81\xe5\xbe\xb7\xe5\xb8\x82\xe5\xb1\x8f\xe5\x8d\x97\xe5\x8e\xbf\xe5\x8f\xa4\xe5\xb3\xb0\xe9\x95\x87\xe5\x9f\x8e\xe4\xb8\x9c\xe7\xa4\xbe\xe5\x8c\xba\xe5\xb1\x85\xe6\xb0\x91\xe5\xa7\x94\xe5\x91\x98\xe4\xbc\x9a"",""lxremail"":""87599390@qq.com"",""lxrmobile"":"""",""lxrtel"":""13062198137"",""managercount"":"""",""opentime"":""08:00"",""postcode"":""352300"",""roomarea"":140,""roomfzr"":"""",""roomlxr"":""\xe6\x9d\x8e\xe5\x9b\x9b"",""roommanager"":""\xe9\x99\x88\xe6\x9d\x8e\xe4\xba\x91"",""roomname"":""\xe5\xb1\x8f\xe5\x8d\x97\xe5\x8e\xbf\xe5\x8f\xa4\xe5\xb3\xb0\xe9\x95\x87\xe7\xbb\xbc\xe5\x90\x88\xe6\x96\x87\xe5\x8c\x96\xe7\xab\x99\xe7\x94\xb5\xe5\xad\x90\xe9\x98\x85\xe8\xa7\x88\xe5\xae\xa4"",""roomsn"":""3509231003"",""roomtype"":""1"",""stalevel"":""9"",""state"":1,""statype"":"""",""type"":0,""updatetime"":""2015-11-09 15:46"",""uppersta"":""350923"",""version"":2,""website"":""""}]</return></ns2:getRoomInfoResponse></soap:Body></soap:Envelope>'"
*,*,58548,80,A,47:17.0,b'E\x00\x00(w\xe7@\x00y\x06\x06\x95\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x92K(]\xb5\x96P\x10\xfd\xb8\n3\x00\x00'
*,*,58548,80,S,39:11.4,b'E\x00\x004w\xdc@\x00x\x06\x07\x94\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x8c\x19\x00\x00\x00\x00\x80\x02 \x00\x8b}\x00\x00\x02\x04\x05\x84\x01\x03\x03\x08\x01\x01\x04\x02'
*,*,58548,80,A,39:15.8,b'E\x00\x00(w\xdd@\x00x\x06\x07\x9f\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x8c\x1a(]\x9c\xafP\x10\xfd\xb8)K\x00\x00'
*,*,58548,80,PA,39:17.3,"b'E\x00\x01Ww\xde@\x00y\x06\x05o\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x8c\x1a(]\x9c\xafP\x18\xfd\xb8\x92\xea\x00\x00POST /webservice/RoomService HTTP/1.1\r\nSOAPAction: """"\r\nAccept: text/xml, multipart/related, text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2\r\nContent-Type: text/xml;charset=""utf-8""\r\nUser-Agent: JAX-WS RI 2.1.3-hudson-390-\r\nHost: fzpt.communion.net.cn\r\nConnection: keep-alive\r\nContent-Length: 224\r\n\r\n'"
*,*,58548,80,PA,39:19.9,"b'E\x00\x01\x08w\xdf@\x00y\x06\x05\xbd\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x8dI(]\x9c\xafP\x18\xfd\xb8k\xbc\x00\x00<?xml version=""1.0"" ?><S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/""><S:Body><ns2:getRoomInfo xmlns:ns2=""http://facade.jyhcroom.plat.room.org/""><arg0>3509231003</arg0></ns2:getRoomInfo></S:Body></S:Envelope>'"
*,*,58548,80,A,31:12.5,"b""E\x00\x00(w\xe0@\x00y\x06\x06\x9c\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x8e)(]\xa1\x8cP\x10\xf8\xdb'<\x00\x00"""
*,*,58548,80,PA,32:01.0,"b'E\x00\x01Ww\xe1@\x00y\x06\x05l\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x8e)(]\xa1\x8cP\x18\xf8\xdb\x8c\xdb\x00\x00POST /webservice/RoomService HTTP/1.1\r\nSOAPAction: """"\r\nAccept: text/xml, multipart/related, text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2\r\nContent-Type: text/xml;charset=""utf-8""\r\nUser-Agent: JAX-WS RI 2.1.3-hudson-390-\r\nHost: fzpt.communion.net.cn\r\nConnection: keep-alive\r\nContent-Length: 228\r\n\r\n'"
*,*,58548,80,PA,32:04.3,"b'E\x00\x01\x0cw\xe2@\x00y\x06\x05\xb6\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x8fX(]\xa1\x8cP\x18\xf8\xdb\x9e\xde\x00\x00<?xml version=""1.0"" ?><S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/""><S:Body><ns2:getRoomConfig xmlns:ns2=""http://facade.jyhcroom.plat.room.org/""><arg0>3509231003</arg0></ns2:getRoomConfig></S:Body></S:Envelope>'"
*,*,58548,80,A,26:43.7,b'E\x00\x004w\xe3@\x00y\x06\x06\x8d\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x90<(]\xa2s\x80\x10\xfd\xb8D\xee\x00\x00\x01\x01\x05\n(]\xa7\x10(]\xac\x94'
*,*,58548,80,A,26:47.8,b'E\x00\x00(w\xe4@\x00y\x06\x06\x98\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x90<(]\xac\x94P\x10\xfd\xb8\x15D\x00\x00'
*,*,58548,80,PA,31:42.6,"b'E\x00\x01\x08w\xe6@\x00y\x06\x05\xb6\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x91k(]\xb0\xb9P\x18\xf9\x93W\xb5\x00\x00<?xml version=""1.0"" ?><S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/""><S:Body><ns2:getRoomInfo xmlns:ns2=""http://facade.jyhcroom.plat.room.org/""><arg0>3509231003</arg0></ns2:getRoomInfo></S:Body></S:Envelope>'"
*,*,58548,80,PA,31:43.2,"b'E\x00\x01Ww\xe5@\x00y\x06\x05h\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x90<(]\xb0\xb9P\x18\xf9\x93~\xe3\x00\x00POST /webservice/RoomService HTTP/1.1\r\nSOAPAction: """"\r\nAccept: text/xml, multipart/related, text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2\r\nContent-Type: text/xml;charset=""utf-8""\r\nUser-Agent: JAX-WS RI 2.1.3-hudson-390-\r\nHost: fzpt.communion.net.cn\r\nConnection: keep-alive\r\nContent-Length: 224\r\n\r\n'"
*,*,58548,80,A,47:17.0,b'E\x00\x00(w\xe7@\x00y\x06\x06\x95\xc0\xa8\x01\x01\xc0\xa8\x01\x02\xe4\xb4\x00PO\xaa\x92K(]\xb5\x96P\x10\xfd\xb8\n3\x00\x00'
